type,iri,label,label_de,description,description_de,subclass of,subproperty of,domain,range,same as,equivalent class,equivalent property,note,instance of
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:instance_of,instance of,ist ein(e),this item is a specific example and a member of that class,dieses Objekt ist ein spezifisches Beispiel und gehört zu dieser Klasse,,,,,,,http://www.wikidata.org/entity/P31,"Wikibase ID: P1,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:start_date,start date,Startdatum,"when an event started, use property 'end date' as well (the property 'date' should be used alternatively when an event only has a point in time instead of a time span)","wenn ein Ereignis begonnen hat, auch die Eigenschaft »Enddatum« verwenden (die Eigenschaft »Datum« sollte alternativ verwendet werden, wenn ein Ereignis nur einen Zeitpunkt statt einer Zeitspanne hat)",,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,http://www.w3.org/2001/XMLSchema#date,,,"https://schema.org/startDate,http://www.wikidata.org/entity/P580","Wikibase ID: P10,Wikibase datatype: edtf",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:getty_ulan,Getty ULAN,Getty ULAN,identifier from the Union List of Artist Names by the Getty Research Institute,Kennung aus der Union List of Artist Names des Getty Research Institute,,,https://gitlab.com/nfdi4culture/wikibase4research/model/human,http://www.w3.org/2001/XMLSchema#string,,,http://www.wikidata.org/entity/P245,"Wikibase ID: P100,Wikibase datatype: external-id",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:geonames,Geonames,Geonames,identifier in the GeoNames geographical database,Kennung in der GeoNames geographical database,,,https://gitlab.com/nfdi4culture/wikibase4research/model/place,http://www.w3.org/2001/XMLSchema#string,,,http://www.wikidata.org/entity/P1566,"Wikibase ID: P101,Wikibase datatype: external-id",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:gnd,GND,GND,"identifier from an international authority file of names, subjects, and organizations - Deutsche Nationalbibliothek","Kennung aus einer internationalen Normdatei für Personennamen, Körperschaften und Schlagwörter – Deutsche Nationalbibliothek",,,"https://gitlab.com/nfdi4culture/wikibase4research/model/physical_object,https://gitlab.com/nfdi4culture/wikibase4research/model/actor",http://www.w3.org/2001/XMLSchema#string,,,http://www.wikidata.org/entity/P227,"Wikibase ID: P102,Wikibase datatype: external-id",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:doi,DOI,DOI,serial code used to uniquely identify digital objects like academic papers (use upper case letters only),Seriencode zur eindeutigen Identifizierung digitaler Objekte wie wissenschaftlicher Arbeiten (nur Großbuchstaben verwenden),,,https://gitlab.com/nfdi4culture/wikibase4research/model/digital_object,http://www.w3.org/2001/XMLSchema#string,,,http://www.wikidata.org/entity/P356,"Wikibase ID: P103,Wikibase datatype: external-id",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:end_date,end date,Enddatum,"when an event finished, use property 'start date' as well (the property 'date' should be used alternatively when an event only has a point in time instead of a time span)","wenn ein Ereignis beendet wurde, auch die Eigenschaft »Startdatum« verwenden (die Eigenschaft »Datum« sollte alternativ verwendet werden, wenn ein Ereignis nur einen Zeitpunkt statt einer Zeitspanne hat)",,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,http://www.w3.org/2001/XMLSchema#date,,,"https://schema.org/endDate,http://www.wikidata.org/entity/P582","Wikibase ID: P11,Wikibase datatype: edtf",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:date,date,Datum,used for events that are associated with a point in time instead of a time span (use start date and end date for indicating a time span),"wird für Ereignisse verwendet, die mit einem Zeitpunkt und nicht mit einer Zeitspanne verbunden sind (verwenden Sie Start- und Enddatum zur Angabe einer Zeitspanne)",,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,http://www.w3.org/2001/XMLSchema#date,,,http://www.wikidata.org/entity/P585,"Wikibase ID: P12,Wikibase datatype: edtf",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:participant,participant,hatte Teilnehmer,person who participated in an event,"Person, die an einem Ereignis teilgenommen hat",,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,https://gitlab.com/nfdi4culture/wikibase4research/model/actor,,,"http://www.cidoc-crm.org/cidoc-crm/P11_had_participant,https://schema.org/participant,http://www.wikidata.org/entity/P710","Wikibase ID: P13,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:carried_out_by,carried out by,wurde ausgeführt von,active agent of an event,aktiver Akteur eines Ereignisses,,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,https://gitlab.com/nfdi4culture/wikibase4research/model/actor,,,"http://www.cidoc-crm.org/cidoc-crm/P14_carried_out_by,https://schema.org/agent","Wikibase ID: P14,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:transferred_title_to,transferred title to,Eigentum übertragen auf,for ownership changes: previous owner,bei Besitztitelwechsel: vorheriger Besitzer,,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,https://gitlab.com/nfdi4culture/wikibase4research/model/actor,,,http://www.cidoc-crm.org/cidoc-crm/P22_transferred_title_to,"Wikibase ID: P15,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:transferred_title_from,transferred title from,Eigentum übertragen von,for ownership changes: new owner,bei Eigentümerwechsel: neuer Eigentümer,,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,https://gitlab.com/nfdi4culture/wikibase4research/model/actor,,,http://www.cidoc-crm.org/cidoc-crm/P23_transferred_title_from,"Wikibase ID: P16,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:moved_to,moved to,Ortswechsel nach,new location of this item,neuer Standort dieses Objekts,,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,https://gitlab.com/nfdi4culture/wikibase4research/model/place,,,http://www.cidoc-crm.org/cidoc-crm/P26_moved_to,"Wikibase ID: P17,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:moved_from,moved from,Ortswechsel von,previous location of this item,früherer Standort dieses Objekts,,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,https://gitlab.com/nfdi4culture/wikibase4research/model/place,,,http://www.cidoc-crm.org/cidoc-crm/P27_moved_from,"Wikibase ID: P18,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:custody_surrendered_by,custody surrendered by,Gewahrsam übergeben von,previous custodian of this item,vorheriger Verwahrer dieses Objekts,,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,"https://gitlab.com/nfdi4culture/wikibase4research/model/human,https://gitlab.com/nfdi4culture/wikibase4research/model/group",,,http://www.cidoc-crm.org/cidoc-crm/P28_custody_surrendered_by,"Wikibase ID: P19,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:subclass_of,subclass of,Unterklasse von,points to the superclass of this class,verweist auf die Oberklasse dieser Klasse,,,,,,,http://www.wikidata.org/entity/P279,"Wikibase ID: P2,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:custody_received_by,custody received by,Gewahrsam übertragen auf,new custodian of this item,neuer Verwahrer dieses Objekts,,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,https://gitlab.com/nfdi4culture/wikibase4research/model/actor,,,http://www.cidoc-crm.org/cidoc-crm/P29_custody_received_by,"Wikibase ID: P20,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:placeholder,placeholder,Platzhalter,placeholder property,Platzhalterobjekt,,,,,,,,"Wikibase ID: P21,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:material_used,material used,verwendetes Material,material used for creating or changing an item,"Material, das zur Erstellung oder Modifikation eines Objekts verwendet wird",,,https://gitlab.com/nfdi4culture/wikibase4research/model/physical_object,https://gitlab.com/nfdi4culture/wikibase4research/model/material,,,http://www.cidoc-crm.org/cidoc-crm/P126_employed,"Wikibase ID: P22,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:consists_of,consists of,besteht aus,material an item is made from,"Material, aus dem ein Objekt hergestellt ist",,,"https://gitlab.com/nfdi4culture/wikibase4research/model/pysical_object,https://gitlab.com/nfdi4culture/wikibase4research/model/conceptual_object",https://gitlab.com/nfdi4culture/wikibase4research/model/material,,,"http://www.cidoc-crm.org/cidoc-crm/P45_consists_of,https://schema.org/material,http://www.wikidata.org/entity/P186","Wikibase ID: P23,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:bears_feature,bears feature,trägt Merkmal,feature of an object,Merkmal eines Gegenstand,,,https://gitlab.com/nfdi4culture/wikibase4research/model/physical_object,http://www.w3.org/2001/XMLSchema#string,,,http://www.cidoc-crm.org/cidoc-crm/P56_bears_feature,"Wikibase ID: P24,Wikibase datatype: string",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:inscription,inscription,Inschrift,piece of text on an object,Textstück auf einem Gegenstand,,,https://gitlab.com/nfdi4culture/wikibase4research/model/physical_object,http://www.w3.org/2001/XMLSchema#string,,,http://www.wikidata.org/entity/P1684,"Wikibase ID: P25,Wikibase datatype: string",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:has_condition,condition,hat Zustand,condition of an object,Zustand eines Gegenstands,,,"https://gitlab.com/nfdi4culture/wikibase4research/model/pysical_object,https://gitlab.com/nfdi4culture/wikibase4research/model/conceptual_object",https://gitlab.com/nfdi4culture/wikibase4research/model/condition,,,http://www.cidoc-crm.org/cidoc-crm/P44_has_condition,"Wikibase ID: P26,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:part_removed,part removed,Teil entfernt,which part was removed from this item,welcher Teil von diesem Objekt entfernt wurde,,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,https://gitlab.com/nfdi4culture/wikibase4research/model/human-made_object,,,http://www.cidoc-crm.org/cidoc-crm/P113_removed,"Wikibase ID: P27,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:part_added,part added,Teil hinzugefügt,which part was added to this item,welcher Teil zu diesem Objekt hinzugefügt wurde,,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,https://gitlab.com/nfdi4culture/wikibase4research/model/human-made_object,,,http://www.cidoc-crm.org/cidoc-crm/P111_added,"Wikibase ID: P28,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:resulted_in,resulted in,ergab,new item created by a transformation,"neues Objekt, das durch eine Transformation entstanden ist",,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,https://gitlab.com/nfdi4culture/wikibase4research/model/human-made_object,,,http://www.cidoc-crm.org/cidoc-crm/P123_resulted_in,"Wikibase ID: P29,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:subproperty_of,subproperty of,Untereigenschaft von,points to the superproperty of this property,verweist auf die übergeordnete Eigenschaft dieser Eigenschaft,,,,,,,http://www.wikidata.org/entity/P1647,"Wikibase ID: P3,Wikibase datatype: wikibase-property",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:used_for,used for,benutzt für,purpose or use of an item,Zweck oder Verwendung eines Objekts,,,https://gitlab.com/nfdi4culture/wikibase4research/model/physical_object,https://gitlab.com/nfdi4culture/wikibase4research/model/function,,,"http://www.cidoc-crm.org/cidoc-crm/P101_had_as_general_use,http://www.wikidata.org/entity/P366","Wikibase ID: P30,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:dimension,dimension,hat Dimension,superproperty for dimensions like height and width,übergeordnete Eigenschaft für Abmessungen wie Höhe und Breite,,,"https://gitlab.com/nfdi4culture/wikibase4research/model/physical_object,https://gitlab.com/nfdi4culture/wikibase4research/model/conceptual_object",,,,http://www.cidoc-crm.org/cidoc-crm/P43_has_dimension,"Wikibase ID: P31,Wikibase datatype: quantity",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:height,height,Höhe,height of an item,Höhe eines Objekts,,https://gitlab.com/nfdi4culture/wikibase4research/model/has_dimension,https://gitlab.com/nfdi4culture/wikibase4research/model/physical_object,http://www.w3.org/2001/XMLSchema#float,,,"https://schema.org/height,http://www.wikidata.org/entity/P2048","Wikibase ID: P32,Wikibase datatype: quantity",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:length,length,Länge,length of an item,Länge eines Objekts,,https://gitlab.com/nfdi4culture/wikibase4research/model/has_dimension,https://gitlab.com/nfdi4culture/wikibase4research/model/physical_object,http://www.w3.org/2001/XMLSchema#float,,,http://www.wikidata.org/entity/P2043,"Wikibase ID: P33,Wikibase datatype: quantity",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:width,width,Breite,width of an item,Breite eines Objekts,,https://gitlab.com/nfdi4culture/wikibase4research/model/has_dimension,https://gitlab.com/nfdi4culture/wikibase4research/model/physical_object,http://www.w3.org/2001/XMLSchema#float,,,"https://schema.org/width,http://www.wikidata.org/entity/P2049","Wikibase ID: P34,Wikibase datatype: quantity",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:weight,weight,Gewicht,weight of an item,Gewicht eines Objekts,,https://gitlab.com/nfdi4culture/wikibase4research/model/has_dimension,https://gitlab.com/nfdi4culture/wikibase4research/model/physical_object,http://www.w3.org/2001/XMLSchema#float,,,"https://schema.org/weight,http://www.wikidata.org/entity/P2067","Wikibase ID: P35,Wikibase datatype: quantity",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:address,address,Adresse,"street address of an item, usually a building or organisation","Adresse eines Objektes, in der Regel eines Gebäudes oder einer Organisation",,,https://gitlab.com/nfdi4culture/wikibase4research/model/physical_object,http://www.w3.org/2001/XMLSchema#string,,,"https://schema.org/address,http://www.wikidata.org/entity/P6375","Wikibase ID: P36,Wikibase datatype: string",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:coordinate_location,coordinate location,geographische Koordinaten,exact location of an item,genauer Standort eines Objekts,,,"https://gitlab.com/nfdi4culture/wikibase4research/model/physical_object,https://gitlab.com/nfdi4culture/wikibase4research/model/place",http://www.w3.org/2001/XMLSchema#string,,,"https://schema.org/geo,http://www.wikidata.org/entity/P625","Wikibase ID: P37,Wikibase datatype: globe-coordinate",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:location,location,Standort,describes where an item is located,"beschreibt, wo sich ein Objekt befindet",,,https://gitlab.com/nfdi4culture/wikibase4research/model/physical_object,https://gitlab.com/nfdi4culture/wikibase4research/model/place,,,"http://www.cidoc-crm.org/cidoc-crm/P53_has_former_or_current_location,https://schema.org/location,http://www.wikidata.org/entity/P276","Wikibase ID: P38,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:has_position,position,hat Position,indicates the position of an item within a location,gibt die Position eines Objekts innerhalb eines Standorts an,,,"https://gitlab.com/nfdi4culture/wikibase4research/model/pysical_object,https://gitlab.com/nfdi4culture/wikibase4research/model/conceptual_object",https://gitlab.com/nfdi4culture/wikibase4research/model/position,,,,"Wikibase ID: P39,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:title,title,Titel,title of a creative work when explicitly given,"Titel eines kreativen Werks, wenn ausdrücklich angegeben",,,"https://gitlab.com/nfdi4culture/wikibase4research/model/physical_object, https://gitlab.com/nfdi4culture/wikibase4research/model/conceptual_object",http://www.w3.org/2001/XMLSchema#string,,,http://www.wikidata.org/entity/P1476,"Wikibase ID: P4,Wikibase datatype: string",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:by_mother,by mother,durch Mutter,links the event Birth to an instance of an actor in the role of birth-giving mother,verknüpft das Ereignis Geburt mit einer Instanz eines Akteurs in der Rolle der gebärenden Mutter,,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,https://gitlab.com/nfdi4culture/wikibase4research/model/actor,,,http://cidoc-crm.org/cidoc-crm/7.1.2/P96_by_mother,"Wikibase ID: P40,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:from_father,from father,gab Vaterschaft,links the event Birth to an instance of an actor in the role of biological father,verknüpft das Ereignis Geburt mit einer Instanz eines Akteurs in der Rolle des biologischen Vaters,,,https://gitlab.com/nfdi4culture/wikibase4research/model/event,https://gitlab.com/nfdi4culture/wikibase4research/model/actor,,,http://cidoc-crm.org/cidoc-crm/7.1.2/P97_from_father,"Wikibase ID: P41,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:spouse,spouse,Ehepartner,"the subject has the object as their spouse (husband, wife, partner, etc.)","das Subjekt hat das Objekt als seinen/ihren Ehepartner (Ehemann, Ehefrau, Partner usw.)",,,https://gitlab.com/nfdi4culture/wikibase4research/model/actor,https://gitlab.com/nfdi4culture/wikibase4research/model/actor,,,http://www.wikidata.org/entity/P26,"Wikibase ID: P42,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:in_custody_of,in custody of,in Gewahrsam von,agent who holds an item,"Agent, welcher eine Objekt verwahrt",,,https://gitlab.com/nfdi4culture/wikibase4research/model/human-made_object,https://gitlab.com/nfdi4culture/wikibase4research/model/actor,,,http://www.cidoc-crm.org/cidoc-crm/P49_has_former_or_current_keeper,"Wikibase ID: P43,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:owner,owner,Eigentümer,agent who owns an item,"Agent, welcher ein Objekt besitzt",,,https://gitlab.com/nfdi4culture/wikibase4research/model/human-made_object,https://gitlab.com/nfdi4culture/wikibase4research/model/actor,,,"http://www.cidoc-crm.org/cidoc-crm/P51_has_former_or_current_owner,http://www.wikidata.org/entity/P127","Wikibase ID: P44,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:right_held_by,right held by,Rechte gehalten von,identifies the agent who owns the rights to an item,"identifiziert den Akteur, der die Rechte an einem Objekt besitzt",,,https://gitlab.com/nfdi4culture/wikibase4research/model/media_item,https://gitlab.com/nfdi4culture/wikibase4research/model/actor,,,http://cidoc-crm.org/cidoc-crm/7.1.2/P105_right_held_by,"Wikibase ID: P45,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:curator,curator,Kurator,agent who curates a collection,"Akteur, welcher eine Sammlung kuratiert",,,https://gitlab.com/nfdi4culture/wikibase4research/model/collection,https://gitlab.com/nfdi4culture/wikibase4research/model/actor,,,"http://www.cidoc-crm.org/cidoc-crm/P109_has_current_or_former_curator,http://www.wikidata.org/entity/P1640","Wikibase ID: P46,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:sibling_of,sibling of,ist Geschwisterteil von,associates an instance of Human with another instance of Human who plays the role of the first instances sibling,"assoziiert eine Instanz von Mensch mit einer anderen Instanz von Mensch, die die Rolle des Geschwisterteils der ersten Instanz spielt",,,https://gitlab.com/nfdi4culture/wikibase4research/model/human,https://gitlab.com/nfdi4culture/wikibase4research/model/human,,,,"Wikibase ID: P47,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:parent_of,parent of,ist Elternteil von,associates an instance of Human with another instance of Human who plays the role of the first instances child,"assoziiert eine Instanz von Mensch mit einer anderen Instanz von Mensch, die die Rolle des Kindes der ersten Instanz spielt",,,https://gitlab.com/nfdi4culture/wikibase4research/model/human,https://gitlab.com/nfdi4culture/wikibase4research/model/human,,,http://cidoc-crm.org/cidoc-crm/7.1.2/P152_has_parent,"Wikibase ID: P48,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:has_sex_or_gender,sex or gender,hat Geschlecht,sex or gender identity of a person,Geschlecht oder Geschlechtsidentität einer Person,,,https://gitlab.com/nfdi4culture/wikibase4research/model/human,https://gitlab.com/nfdi4culture/wikibase4research/model/sex_or_gender,,,http://www.wikidata.org/entity/P21,"Wikibase ID: P49,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:has_part,has part,hat Teil,another item that is part of this item,"ein anderes Objekt, das Teil dieses Objekts ist",,,,,,,"http://www.cidoc-crm.org/cidoc-crm/P45_consists_of,https://schema.org/hasPart,http://www.wikidata.org/entity/P527","Wikibase ID: P5,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:affiliation,affiliation,Zugehörigkeit,affiliation of a person or organisation to an item,Zugehörigkeit einer Person oder Organisation zu einem Gegenstand,,,https://gitlab.com/nfdi4culture/wikibase4research/model/actor,https://gitlab.com/nfdi4culture/wikibase4research/model/actor,,,"http://www.cidoc-crm.org/cidoc-crm/P107_has_current_or_former_member,https://schema.org/affiliation,http://www.wikidata.org/entity/P1416","Wikibase ID: P50,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#ObjectProperty,wgm:contact_person,contact person,Kontaktperson,agent who is the official contact point about an item,"Akteur, welcher die offizielle Anlaufstelle für ein Objekt ist",,,"https://gitlab.com/nfdi4culture/wikibase4research/model/pysical_object,https://gitlab.com/nfdi4culture/wikibase4research/model/conceptual_object",https://gitlab.com/nfdi4culture/wikibase4research/model/actor,,,,"Wikibase ID: P51,Wikibase datatype: wikibase-item",
http://www.w3.org/2002/07/owl#DatatypeProperty,wgm:contact_point,contact point,Kontaktpunkt,how an organisation or group can be contacted,wie eine Organisation oder Gruppe kontaktiert werden kann,,,https://gitlab.com/nfdi4culture/wikibase4research/model/group,,,,http://www.cidoc-crm.org/cidoc-crm/P76_has_contact_point,"Wikibase ID: P129,Wikibase datatype: string",
